model_family,model_variant,context,split,rag_mode,use_rag,seed,run_id,value,f1,gold_support,pred_support,gold_rate,pred_rate,source_file
deberta,microsoft/deberta-v3-large,doc,test,none,False,42.0,,Universalism: concern,0.38538597525044194,735.0,962.0,0.05044958473471069,0.0660306129452948,results/logs/deberta_doc_no_rag_seed42_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,none,False,42.0,,Universalism: nature,0.5855072463768117,293.0,397.0,0.02011119500308875,0.027249639645823324,results/logs/deberta_doc_no_rag_seed42_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,none,False,42.0,,Universalism: tolerance,0.19784946236559142,171.0,294.0,0.011737250326034732,0.020179833893884273,results/logs/deberta_doc_no_rag_seed42_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-base,doc,test,none,False,42.0,,Self-direction: thought,0.051948051948051945,171.0,137.0,0.011737250326034732,0.00940352803898689,results/logs/deberta_doc_no_rag_seed42_test_metrics.json
deberta,microsoft/deberta-v3-base,doc,test,none,False,42.0,,Self-direction: action,0.14542836573074155,512.0,877.0,0.03514311208730867,0.0601963072276752,results/logs/deberta_doc_no_rag_seed42_test_metrics.json
deberta,microsoft/deberta-v3-base,doc,test,none,False,42.0,,Stimulation,0.1779935275080906,371.0,247.0,0.02546502848513968,0.01695380602649461,results/logs/deberta_doc_no_rag_seed42_test_metrics.json
deberta,microsoft/deberta-v3-base,doc,test,none,False,42.0,,Hedonism,0.23741007194244604,125.0,153.0,0.008579861349440594,0.010501750291715286,results/logs/deberta_doc_no_rag_seed42_test_metrics.json
deberta,microsoft/deberta-v3-base,doc,test,none,False,42.0,,Achievement,0.35200000000000004,911.0,964.0,0.06253002951472304,0.06616789072688585,results/logs/deberta_doc_no_rag_seed42_test_metrics.json
deberta,microsoft/deberta-v3-base,doc,test,none,False,42.0,,Power: dominance,0.3304878048780488,631.0,1009.0,0.04331114009197611,0.06925664081268447,results/logs/deberta_doc_no_rag_seed42_test_metrics.json
deberta,microsoft/deberta-v3-base,doc,test,none,False,42.0,,Power: resources,0.3865110246433204,805.0,1508.0,0.05525430709039742,0.10350744731965131,results/logs/deberta_doc_no_rag_seed42_test_metrics.json
deberta,microsoft/deberta-v3-base,doc,test,none,False,42.0,,Face,0.1700404858299595,267.0,227.0,0.018326583842405108,0.015581028210584116,results/logs/deberta_doc_no_rag_seed42_test_metrics.json
deberta,microsoft/deberta-v3-base,doc,test,none,False,42.0,,Security: personal,0.3156297420333839,352.0,307.0,0.02416088956002471,0.021072139474226096,results/logs/deberta_doc_no_rag_seed42_test_metrics.json
deberta,microsoft/deberta-v3-base,doc,test,none,False,42.0,,Security: societal,0.4117647058823529,1151.0,1501.0,0.07900336330564899,0.10302697508408264,results/logs/deberta_doc_no_rag_seed42_test_metrics.json
